"","species_name","range_size","aoo","sexual_system"
"22157","Jaltomata andersonii",1,2500,NA
"22158","Jaltomata antillana",NA,NA,NA
"22159","Jaltomata aspera",NA,NA,NA
"22160","Jaltomata auriculata",NA,NA,NA
"22161","Jaltomata bernardelloana",NA,NA,NA
"22162","Jaltomata bicolor",3,7500,NA
"22163","Jaltomata biflora",NA,NA,NA
"22164","Jaltomata bohsiana",NA,NA,NA
"22165","Jaltomata cajacayensis",NA,NA,NA
"22166","Jaltomata chihuahuensis",NA,NA,NA
"22167","Jaltomata chotanae",NA,NA,NA
"22168","Jaltomata contumacensis",NA,NA,NA
"22169","Jaltomata darcyana",NA,NA,NA
"22170","Jaltomata dendroidea",NA,NA,NA
"22171","Jaltomata dentata",1,2500,NA
"22172","Jaltomata grandiflora",NA,NA,NA
"22173","Jaltomata herrerae",4,5000,NA
"22174","Jaltomata lanata",NA,NA,NA
"22175","Jaltomata leivae",NA,NA,NA
"22176","Jaltomata lezamae",1,2500,NA
"22177","Jaltomata lojae",NA,NA,NA
"22178","Jaltomata lomana",NA,NA,NA
"22179","Jaltomata mionei",NA,NA,NA
"22180","Jaltomata nigricolor",NA,NA,NA
"22181","Jaltomata oppositifolia",NA,NA,NA
"22182","Jaltomata paneroi",NA,NA,NA
"22183","Jaltomata procumbens",69,167500,NA
"22184","Jaltomata repandidentata",3,7500,NA
"22185","Jaltomata sagastegui",NA,NA,NA
"22186","Jaltomata salpoensis",NA,NA,NA
"22187","Jaltomata sanchez-vegae",NA,NA,NA
"22188","Jaltomata sinuosa",3,7500,NA
"22189","Jaltomata truxillana",NA,NA,NA
"22190","Jaltomata umbellata",1,2500,NA
"22191","Jaltomata ventricosa",NA,NA,NA
"22192","Jaltomata viridiflora",11,22500,NA
"22193","Jaltomata weberbaueri",NA,NA,NA
"22194","Jaltomata yacheri",1,2500,NA
"22195","Jaltomata yungayensis",NA,NA,NA
"22196","Janusia anisandra",1,2500,NA
"22197","Janusia californica",25,52500,NA
"22198","Janusia christianeae",NA,NA,NA
"22199","Janusia guaranitica",68,165000,NA
"22200","Janusia hexandra",NA,NA,NA
"22201","Janusia janusioides",NA,NA,NA
"22202","Janusia linearis",2,5000,NA
"22203","Janusia mediterranea",NA,NA,NA
"22204","Jarilla chocola",9,22500,NA
"22205","Jarilla heterophylla",12,25000,NA
"22206","Jasarum steyermarkii",NA,NA,NA
"22207","Jasminum adenophyllum",2,5000,NA
"22208","Jasminum angulare",17,37500,NA
"22209","Jasminum artense",1,2500,NA
"22210","Jasminum attenuatum",NA,NA,NA
"22211","Jasminum azoricum",7,17500,NA
"22212","Jasminum bakeri",NA,NA,NA
"22213","Jasminum beesianum",93,297500,NA
"22214","Jasminum calcareum",23,65000,NA
"22215","Jasminum calophyllum",NA,NA,NA
"22216","Jasminum coarctatum",5,12500,NA
"22217","Jasminum cumingii",NA,NA,NA
"22218","Jasminum decipiens",NA,NA,NA
"22219","Jasminum decussatum",NA,NA,NA
"22220","Jasminum didymum",108,267500,NA
"22221","Jasminum dispermum",7,17500,NA
"22222","Jasminum elatum",3,5000,NA
"22223","Jasminum elongatum",105,245000,NA
"22224","Jasminum extensum",1,2500,NA
"22225","Jasminum fluminense",114,282500,NA
"22226","Jasminum glaucum",9,17500,NA
"22227","Jasminum greveanum",4,7500,NA
"22228","Jasminum harmandianum",NA,NA,NA
"22229","Jasminum kitchingii",3,5000,NA
"22230","Jasminum lanceolaria",27,65000,NA
"22231","Jasminum latipetalum",NA,NA,NA
"22232","Jasminum longipetalum",8,20000,NA
"22233","Jasminum mackeeorum",NA,NA,NA
"22234","Jasminum maingayi",NA,NA,NA
"22235","Jasminum mesnyi",241,627500,NA
"22236","Jasminum multipartitum",56,147500,NA
"22237","Jasminum nervosum",31,70000,NA
"22238","Jasminum nobile",3,7500,NA
"22239","Jasminum nudiflorum",662,2e+06,NA
"22240","Jasminum nummulariifolium",1,2500,NA
"22241","Jasminum obtusifolium",3,7500,NA
"22242","Jasminum officinale",344,940000,NA
"22243","Jasminum pauciflorum",31,75000,NA
"22244","Jasminum pierreanum",NA,NA,NA
"22245","Jasminum polyanthum",187,457500,NA
"22246","Jasminum preussii",2,5000,NA
"22247","Jasminum pteropodum",NA,NA,NA
"22248","Jasminum ritchiei",3,7500,NA
"22249","Jasminum sambac",381,930000,NA
"22250","Jasminum siamense",NA,NA,NA
"22251","Jasminum spectabile",NA,NA,NA
"22252","Jasminum tortuosum",NA,NA,NA
"22253","Jasminum urophyllum",5,7500,NA
"22254","Jatropha capensis",10,22500,NA
"22255","Jatropha costaricensis",1,2500,NA
"22256","Jatropha curcas",740,1832500,NA
"22257","Jatropha glandulifera",4,10000,NA
"22258","Jatropha gossypiifolia",1582,3975000,NA
"22259","Jatropha integerrima",NA,NA,NA
"22260","Jatropha latifolia",NA,NA,NA
"22261","Jatropha multifida",590,1485000,NA
"22262","Jatropha podagrica",371,907500,NA
"22263","Jatropha tanjorensis",2,5000,NA
"22264","Jobinia formosa",3,7500,NA
"22265","Jobinia lindbergii",NA,NA,NA
"22266","Jobinia streptantha",NA,NA,NA
"22267","Jobinia tarmensis",5,10000,NA
"22268","Johannesteijsmannia altifrons",6,10000,NA
"22269","Johannesteijsmannia lanceolata",1,2500,NA
"22270","Johannesteijsmannia magnifica",NA,NA,NA
"22271","Johannesteijsmannia perakensis",NA,NA,NA
"22272","Jouvea pilosa",25,70000,NA
"22273","Juania australis",3,2500,NA
"22274","Juanulloa mexicana",26,60000,NA
"22275","Jubaea chilensis",39,92500,NA
"22276","Jubaeopsis caffra",2,2500,NA
"22277","Jubelina riparia",1,2500,NA
"22278","Jubelina rosea",1,2500,NA
"22279","Jubelina uleana",NA,NA,NA
"22280","Jubelina wilburii",NA,NA,NA
"22281","Juglans australis",20,42500,NA
"22282","Juglans boliviana",5,12500,NA
"22283","Juglans californica",49,127500,NA
"22284","Juglans cinerea",543,1557500,NA
"22285","Juglans hindsii",61,120000,NA
"22286","Juglans hirsuta",3,7500,NA
"22287","Juglans hopeiensis",NA,NA,NA
"22288","Juglans jamaicensis",5,12500,NA
"22289","Juglans major",117,285000,NA
"22290","Juglans mandshurica",318,882500,NA
"22291","Juglans microcarpa",61,152500,NA
"22292","Juglans mollis",17,37500,NA
"22293","Juglans neotropica",60,137500,NA
"22294","Juglans nigra",1761,5082500,NA
"22295","Juglans pyriformis",7,17500,NA
"22296","Juglans regia",2531,7640000,NA
"22297","Juglans sigillata",7,17500,NA
"22298","Juglans steyermarkii",3,5000,NA
"22299","Juglans venezuelensis",NA,NA,NA
"22300","Julbernardia brieyi",3,7500,NA
"22301","Julbernardia hochreutineri",NA,NA,NA
"22302","Julbernardia letouzeyi",NA,NA,NA
"22303","Julbernardia magnistipulata",NA,NA,NA
"22304","Julbernardia pellegriniana",7,15000,NA
"22305","Julbernardia seretii",2,5000,NA
"22306","Jumelleanthus perrieri",NA,NA,NA
"22307","Jupunba abbottii",1,2500,NA
"22308","Jupunba asplenifolia",NA,NA,NA
"22309","Jupunba barbouriana",19,45000,NA
"22310","Jupunba brachystachya",2,5000,NA
"22311","Jupunba cochleata",1,2500,NA
"22312","Jupunba commutata",NA,NA,NA
"22313","Jupunba filamentosa",1,2500,NA
"22314","Jupunba floribunda",4,10000,NA
"22315","Jupunba idiopoda",NA,NA,NA
"22316","Jupunba laeta",14,32500,NA
"22317","Jupunba leucophylla",8,20000,NA
"22318","Jupunba longipedunculata",NA,NA,NA
"22319","Jupunba macradenia",4,10000,NA
"22320","Jupunba microcalyx",2,5000,NA
"22321","Jupunba nipensis",NA,NA,NA
"22322","Jupunba oppositifolia",3,5000,NA
"22323","Jupunba oxyphyllidia",NA,NA,NA
"22324","Jupunba trapezifolia",77,190000,NA
"22325","Jupunba villosa",NA,NA,NA
"22326","Kadenia dubia",597,1630000,NA
"22327","Kadua acuminata",5,7500,NA
"22328","Kadua affinis",15,30000,NA
"22329","Kadua axillaris",1,2500,NA
"22330","Kadua centranthoides",9,22500,NA
"22331","Kadua cordata",1,2500,NA
"22332","Kadua coriacea",NA,NA,NA
"22333","Kadua degeneri",NA,NA,NA
"22334","Kadua elatior",2,2500,NA
"22335","Kadua fluviatilis",1,2500,NA
"22336","Kadua flynnii",1,2500,NA
"22337","Kadua foggiana",1,2500,NA
"22338","Kadua laxiflora",NA,NA,NA
"22339","Kadua littoralis",NA,NA,NA
"22340","Kadua parvula",3,2500,NA
"22341","Kadua romanzoffiensis",1,2500,NA
"22342","Kadua tahuatensis",NA,NA,NA
"22343","Kageneckia angustifolia",13,27500,NA
"22344","Kageneckia lanceolata",40,92500,NA
"22345","Kageneckia oblonga",34,85000,NA
"22346","Kalakia marginata",NA,NA,NA
"22347","Kallstroemia maxima",213,522500,NA
"22348","Kallstroemia parviflora",139,330000,NA
"22349","Kalmia angustifolia",627,1840000,NA
"22350","Kalmia buxifolia",24,57500,NA
"22351","Kalmia hirsuta",53,125000,NA
"22352","Kalmia latifolia",469,1342500,NA
"22353","Kalmia polifolia",561,1540000,NA
"22354","Kalmia procumbens",NA,NA,NA
"22355","Kalmiopsis fragrans",1,2500,NA
"22356","Kalmiopsis leachiana",2,2500,NA
"22357","Kamettia chandeei",NA,NA,NA
"22358","Kanahia laniflora",42,95000,NA
"22359","Kanakomyrtus dawsoniana",NA,NA,NA
"22360","Kanaloa kahoolawensis",1,2500,NA
"22361","Kandaharia rechingerorum",NA,NA,NA
"22362","Kandelia candel",19,45000,NA
"22363","Kandelia obovata",43,102500,NA
"22364","Kania eugenioides",27,60000,NA
"22365","Karatavia kultiassovii",NA,NA,NA
"22366","Karwinskia calderonii",8,22500,NA
"22367","Karwinskia johnstonii",NA,NA,NA
"22368","Karwinskia latifolia",3,5000,NA
"22369","Karwinskia mollis",14,32500,NA
"22370","Karwinskia pluvialis",NA,NA,NA
"22371","Karwinskia potrerilloana",NA,NA,NA
"22372","Karwinskia rzedowskii",1,2500,NA
"22373","Karwinskia subcordata",1,2500,NA
"22374","Karwinskia tehuacana",NA,NA,NA
"22375","Karwinskia umbellata",NA,NA,NA
"22376","Karwinskia venturae",NA,NA,NA
"22377","Kayea elmeri",NA,NA,NA
"22378","Kayea kunstleri",NA,NA,NA
"22379","Kayea oblongifolia",NA,NA,NA
"22380","Kayea stylosa",NA,NA,NA
"22381","Kearnemalvastrum lacteum",25,55000,NA
"22382","Keayodendron bridelioides",4,10000,NA
"22383","Kedrostis africana",24,55000,NA
"22384","Kedrostis nana",36,95000,NA
"22385","Keetia gueinzii",43,102500,NA
"22386","Keetia lukei",NA,NA,NA
"22387","Keetia venosa",96,237500,NA
"22388","Keetia zanzibarica",5,12500,NA
"22389","Kelleria dieffenbachii",88,220000,NA
"22390","Kelleronia revoilii",NA,NA,NA
"22391","Kennedia beckxiana",1,2500,NA
"22392","Kennedia carinata",15,25000,NA
"22393","Kennedia coccinea",40,97500,NA
"22394","Kennedia nigricans",26,57500,NA
"22395","Kennedia prorepens",23,50000,NA
"22396","Kennedia prostrata",272,727500,NA
"22397","Kennedia rubicunda",151,392500,NA
"22398","Kennedia stirlingii",3,7500,NA
"22399","Kentrothamnus weddellianus",NA,NA,NA
"22400","Kernera saxatilis",164,470000,NA
"22401","Kerria japonica",1063,2937500,NA
"22402","Kerriochloa siamensis",NA,NA,NA
"22403","Kerriodoxa elegans",3,7500,NA
"22404","Khaya anthotheca",46,105000,NA
"22405","Khaya grandifoliola",41,95000,NA
"22406","Khaya ivorensis",41,87500,NA
"22407","Khaya nyasica",2,5000,NA
"22408","Khaya senegalensis",337,835000,NA
"22409","Kibatalia macrophylla",NA,NA,NA
"22410","Kickxia aegyptiaca",54,135000,NA
"22411","Kickxia caucasica",6,15000,NA
"22412","Kickxia cirrhosa",98,237500,NA
"22413","Kickxia commutata",101,262500,NA
"22414","Kickxia elatine",897,2747500,NA
"22415","Kickxia floribunda",16,37500,NA
"22416","Kickxia lanigera",104,277500,NA
"22417","Kickxia spuria",690,2115000,NA
"22418","Kielmeyera lathrophyton",3,7500,NA
"22419","Kielmeyera petiolaris",NA,NA,NA
"22420","Kielmeyera rosea",NA,NA,NA
"22421","Kiggelaria africana",114,272500,NA
"22422","Kinabaluchloa nebulosa",NA,NA,NA
"22423","Kirkia acuminata",48,115000,NA
"22424","Kirkia wilmsii",20,47500,NA
"22425","Kitaibelia vitifolia",25,60000,NA
"22426","Kjellbergiodendron celebicum",NA,NA,NA
"22427","Klaineanthus gaboniae",2,2500,NA
"22428","Klainedoxa gabonensis",41,1e+05,NA
"22429","Klarobelia inundata",5,12500,NA
"22430","Klarobelia megalocarpa",1,2500,NA
"22431","Klarobelia stipitata",1,2500,NA
"22432","Kleinhovia hospita",85,197500,NA
"22433","Koeberlinia spinosa",197,495000,NA
"22434","Koehneria madagascariensis",8,20000,NA
"22435","Koeleria asiatica",NA,NA,NA
"22436","Koeleria capensis",22,55000,NA
"22437","Koeleria caudata",49,135000,NA
"22438","Koeleria loweana",1,2500,NA
"22439","Koeleria macrantha",1618,4582500,NA
"22440","Koeleria pyramidata",1124,3247500,NA
"22441","Koeleria vallesiana",301,740000,NA
"22442","Koelreuteria bipinnata",49,127500,NA
"22443","Koelreuteria elegans",110,280000,NA
"22444","Koelreuteria paniculata",996,2740000,NA
"22445","Kohautia amatymbica",65,147500,NA
"22446","Kohautia caespitosa",21,47500,NA
"22447","Kohautia coccinea",7,17500,NA
"22448","Kohautia cynanchica",5,12500,NA
"22449","Kohautia subverticillata",3,5000,NA
"22450","Koilodepas bantamense",NA,NA,NA
"22451","Kokia drynarioides",4,5000,NA
"22452","Kokia kauaiensis",3,2500,NA
"22453","Koompassia excelsa",9,25000,NA
"22454","Koompassia grandiflora",4,7500,NA
"22455","Koompassia malaccensis",54,130000,NA
"22456","Kopsia fruticosa",65,165000,NA
"22457","Kopsia pauciflora",2,5000,NA
"22458","Korshinskia olgae",NA,NA,NA
"22459","Korthalsia angustifolia",NA,NA,NA
"22460","Korthalsia bejaudii",NA,NA,NA
"22461","Korthalsia brassii",1,2500,NA
"22462","Korthalsia celebica",NA,NA,NA
"22463","Korthalsia cheb",NA,NA,NA
"22464","Korthalsia concolor",NA,NA,NA
"22465","Korthalsia debilis",NA,NA,NA
"22466","Korthalsia echinometra",1,2500,NA
"22467","Korthalsia ferox",NA,NA,NA
"22468","Korthalsia flagellaris",NA,NA,NA
"22469","Korthalsia furcata",NA,NA,NA
"22470","Korthalsia furtadoana",NA,NA,NA
"22471","Korthalsia hispida",NA,NA,NA
"22472","Korthalsia jala",NA,NA,NA
"22473","Korthalsia junghuhnii",NA,NA,NA
"22474","Korthalsia laciniosa",NA,NA,NA
"22475","Korthalsia lanceolata",NA,NA,NA
"22476","Korthalsia merrillii",NA,NA,NA
"22477","Korthalsia paucijuga",NA,NA,NA
"22478","Korthalsia rigida",1,2500,NA
"22479","Korthalsia robusta",NA,NA,NA
"22480","Korthalsia rogersii",NA,NA,NA
"22481","Korthalsia rostrata",1,2500,NA
"22482","Korthalsia scaphigeroides",NA,NA,NA
"22483","Korthalsia scortechinii",NA,NA,NA
"22484","Korthalsia tenuissima",NA,NA,NA
"22485","Korthalsia zippelii",5,12500,NA
"22486","Kosteletzkya diplocrater",5,12500,NA
"22487","Kosteletzkya reflexiflora",NA,NA,NA
"22488","Kosteletzkya velutina",2,5000,NA
"22489","Kostermansia malayana",NA,NA,NA
"22490","Kostermanthus heteropetalus",NA,NA,NA
"22491","Kostermanthus robustus",NA,NA,NA
"22492","Kotschya aeschynomenoides",3,7500,NA
"22493","Kotschya africana",7,17500,NA
"22494","Kotschya capitulifera",NA,NA,NA
"22495","Kotschya carsonii",1,2500,NA
"22496","Kotschya coalescens",NA,NA,NA
"22497","Kotschya perrieri",2,5000,NA
"22498","Kotschya platyphylla",NA,NA,NA
"22499","Kotschya princeana",NA,NA,NA
"22500","Kotschya recurvifolia",2,5000,NA
"22501","Kotschya scaberrima",NA,NA,NA
"22502","Kotschya speciosa",2,5000,NA
"22503","Kotschya strobilantha",3,7500,NA
"22504","Kotschya suberifera",NA,NA,NA
"22505","Kotschya thymodora",3,7500,NA
"22506","Kozlovia paleacea",NA,NA,NA
"22507","Krameria argentea",1,2500,NA
"22508","Krameria cistoidea",25,60000,NA
"22509","Krameria erecta",180,455000,NA
"22510","Krameria grandiflora",3,7500,NA
"22511","Krameria ixine",14,30000,NA
"22512","Krameria lanceolata",277,690000,NA
"22513","Krameria pauciflora",27,70000,NA
"22514","Krameria paucifolia",8,20000,NA
"22515","Krameria revoluta",3,7500,NA
"22516","Krameria secundiflora",4,10000,NA
"22517","Krameria spartioides",NA,NA,NA
"22518","Krasnovia longiloba",1,2500,NA
"22519","Kremeriella cordylocarpus",NA,NA,NA
"22520","Krugiodendron ferreum",54,117500,NA
"22521","Kuhlmanniodendron apterocarpum",NA,NA,NA
"22522","Kummerowia stipulacea",315,787500,NA
"22523","Kummerowia striata",877,2357500,NA
"22524","Kunzea affinis",5,10000,NA
"22525","Kunzea ambigua",123,295000,NA
"22526","Kunzea baxteri",32,72500,NA
"22527","Kunzea bracteolata",10,20000,NA
"22528","Kunzea calida",NA,NA,NA
"22529","Kunzea cambagei",7,12500,NA
"22530","Kunzea capitata",45,97500,NA
"22531","Kunzea ciliata",2,2500,NA
"22532","Kunzea ericifolia",22,32500,NA
"22533","Kunzea ericoides",259,675000,NA
"22534","Kunzea flavescens",3,7500,NA
"22535","Kunzea graniticola",NA,NA,NA
"22536","Kunzea jucunda",4,7500,NA
"22537","Kunzea montana",1,2500,NA
"22538","Kunzea muelleri",17,40000,NA
"22539","Kunzea obovata",14,30000,NA
"22540","Kunzea parvifolia",89,222500,NA
"22541","Kunzea pauciflora",1,2500,NA
"22542","Kunzea pomifera",49,127500,NA
"22543","Kunzea preissiana",2,5000,NA
"22544","Kunzea pulchella",16,37500,NA
"22545","Kunzea recurva",29,65000,NA
"22546","Kunzea rostrata",5,7500,NA
"22547","Kunzea rupestris",2,7500,NA
"22548","Kunzea sinclairii",3,2500,NA
"22549","Kunzea sulphurea",6,10000,NA
"22550","Kydia calycina",22,47500,NA
"22551","Labichea lanceolata",20,42500,NA
"22552","Labichea rupestris",4,7500,NA
"22553","Labichea teretifolia",1,2500,NA
"22554","Lablab purpureus",639,1582500,NA
"22555","Laburnum alpinum",337,882500,NA
"22556","Laburnum anagyroides",1089,3485000,NA
"22557","Laccodiscus klaineanus",1,2500,NA
"22558","Laccodiscus pseudostipularis",4,7500,NA
"22559","Laccospadix australasicus",5,10000,NA
"22560","Laccosperma acutiflorum",1,2500,NA
"22561","Laccosperma korupense",NA,NA,NA
"22562","Laccosperma laeve",9,17500,NA
"22563","Laccosperma opacum",8,20000,NA
"22564","Laccosperma robustum",NA,NA,NA
"22565","Laccosperma secundiflorum",24,55000,NA
"22566","Lachesiodendron viridiflorum",25,52500,NA
"22567","Lachnaea alpina",2,2500,NA
"22568","Lachnaea aurea",4,5000,NA
"22569","Lachnaea axillaris",6,12500,NA
"22570","Lachnaea burchellii",9,17500,NA
"22571","Lachnaea capitata",8,15000,NA
"22572","Lachnaea densiflora",6,12500,NA
"22573","Lachnaea diosmoides",4,12500,NA
"22574","Lachnaea elsieae",4,7500,NA
"22575","Lachnaea ericoides",4,10000,NA
"22576","Lachnaea eriocephala",3,5000,NA
"22577","Lachnaea filamentosa",4,7500,NA
"22578","Lachnaea funicaulis",1,2500,NA
"22579","Lachnaea globulifera",1,2500,NA
"22580","Lachnaea glomerata",NA,NA,NA
"22581","Lachnaea gracilis",3,5000,NA
"22582","Lachnaea grandiflora",13,22500,NA
"22583","Lachnaea greytonensis",1,2500,NA
"22584","Lachnaea laniflora",2,5000,NA
"22585","Lachnaea laxa",2,2500,NA
"22586","Lachnaea leipoldtii",NA,NA,NA
"22587","Lachnaea macrantha",2,2500,NA
"22588","Lachnaea marlothii",1,2500,NA
"22589","Lachnaea montana",3,5000,NA
"22590","Lachnaea naviculifolia",1,2500,NA
"22591","Lachnaea nervosa",1,2500,NA
"22592","Lachnaea oliverorum",1,2500,NA
"22593","Lachnaea pedicellata",NA,NA,NA
"22594","Lachnaea pendula",NA,NA,NA
"22595","Lachnaea penicillata",3,7500,NA
"22596","Lachnaea pomposa",4,7500,NA
"22597","Lachnaea pudens",2,2500,NA
"22598","Lachnaea pusilla",1,2500,NA
"22599","Lachnaea rupestris",NA,NA,NA
"22600","Lachnaea ruscifolia",3,7500,NA
"22601","Lachnaea sociorum",2,5000,NA
"22602","Lachnaea uniflora",5,15000,NA
"22603","Lachnaea villosa",1,2500,NA
"22604","Lachnocapsa spathulata",4,5000,NA
"22605","Lachnoloma lehmannii",9,17500,NA
"22606","Lachnostylis bilocularis",3,7500,NA
"22607","Lacistema aggregatum",118,282500,NA
"22608","Lacistema robustum",NA,NA,NA
"22609","Lackeya multiflora",56,137500,NA
"22610","Lacmellea aculeata",12,30000,NA
"22611","Lacunaria crenata",14,32500,NA
"22612","Lacunaria jenmanii",21,50000,NA
"22613","Ladakiella klimesii",3,7500,NA
"22614","Ladeania juncea",3,7500,NA
"22615","Ladeania lanceolata",109,265000,NA
"22616","Lafoensia acuminata",22,50000,NA
"22617","Lafoensia nummulariifolia",NA,NA,NA
"22618","Lafoensia pacari",70,160000,NA
"22619","Lagenandra ovata",2,5000,NA
"22620","Lagenaria breviflora",33,75000,NA
"22621","Lagenaria guineensis",3,7500,NA
"22622","Lagenaria sphaerica",73,167500,NA
"22623","Lagerstroemia duperreana",2,2500,NA
"22624","Lagerstroemia indica",628,1597500,NA
"22625","Lagerstroemia parviflora",22,45000,NA
"22626","Lagerstroemia speciosa",389,962500,NA
"22627","Lagerstroemia subcostata",49,115000,NA
"22628","Lagerstroemia tomentosa",6,15000,NA
"22629","Lagerstroemia villosa",1,2500,NA
"22630","Lagunaria patersonia",117,295000,NA
"22631","Laguncularia racemosa",442,1070000,NA
"22632","Lagurus ovatus",1306,3642500,NA
"22633","Lalldhwojia pastinacifolia",NA,NA,NA
"22634","Lamarckia aurea",610,1610000,NA
"22635","Lamprolobium fruticosum",10,25000,NA
"22636","Langloisia setosissima",84,185000,NA
"22637","Lannea coromandelica",78,175000,NA
"22638","Lannea discolor",56,130000,NA
"22639","Lannea edulis",56,140000,NA
"22640","Lannea rivae",2,5000,NA
"22641","Lannea schweinfurthii",24,57500,NA
"22642","Lannea welwitschii",48,115000,NA
"22643","Lanonia acaulis",NA,NA,NA
"22644","Lanonia calciphila",NA,NA,NA
"22645","Lanonia centralis",NA,NA,NA
"22646","Lanonia dasyantha",NA,NA,NA
"22647","Lanonia gracilis",NA,NA,NA
"22648","Lanonia hainanensis",1,2500,NA
"22649","Lanonia hexasepala",NA,NA,NA
"22650","Lanonia magalonii",NA,NA,NA
"22651","Lansium domesticum",10,25000,NA
"22652","Lansium membranaceum",NA,NA,NA
"22653","Laportea aestuans",499,1267500,NA
"22654","Laportea alatipes",12,30000,NA
"22655","Laportea bulbifera",137,357500,NA
"22656","Laportea canadensis",863,2362500,NA
"22657","Laportea cuneata",2,5000,NA
"22658","Laportea cuspidata",49,132500,NA
"22659","Laportea floribunda",NA,NA,NA
"22660","Laportea grossa",14,37500,NA
"22661","Laportea humblotii",3,5000,NA
"22662","Laportea lanceolata",NA,NA,NA
"22663","Laportea medogensis",NA,NA,NA
"22664","Laportea mooreana",2,2500,NA
"22665","Laportea oligoloba",2,2500,NA
"22666","Laportea ovalifolia",14,30000,NA
"22667","Laportea perrieri",2,5000,NA
"22668","Laportea violacea",NA,NA,NA
"22669","Larrea ameghinoi",3,7500,NA
"22670","Larrea cuneifolia",75,177500,NA
"22671","Larrea divaricata",151,352500,NA
"22672","Larrea nitida",87,207500,NA
"22673","Larrea tridentata",496,1190000,NA
"22674","Larryleachia perlata",5,5000,NA
"22675","Laser trilobum",212,555000,NA
"22676","Lasia spinosa",27,67500,NA
"22677","Lasiacis divaricata",82,195000,NA
"22678","Lasiacis ligulata",17,45000,NA
"22679","Lasiacis nigra",16,40000,NA
"22680","Lasiacis rugelii",3,7500,NA
"22681","Lasiacis ruscifolia",32,75000,NA
"22682","Lasimorpha senegalensis",68,147500,NA
"22683","Lasiocroton bahamensis",NA,NA,NA
"22684","Lasiocroton fawcettii",NA,NA,NA
"22685","Lasiocroton harrisii",NA,NA,NA
"22686","Lasiocroton macrophyllus",NA,NA,NA
"22687","Lasiocroton microphyllus",1,2500,NA
"22688","Lasiodiscus chevalieri",6,12500,NA
"22689","Lasiodiscus fasciculiflorus",7,17500,NA
"22690","Lasiodiscus holtzii",NA,NA,NA
"22691","Lasiodiscus mannii",8,17500,NA
"22692","Lasiodiscus marmoratus",NA,NA,NA
"22693","Lasiodiscus mildbraedii",13,30000,NA
"22694","Lasiodiscus palustris",NA,NA,NA
"22695","Lasiodiscus pervillei",5,12500,NA
"22696","Lasiopetalum drummondii",5,7500,NA
"22697","Latania loddigesii",6,10000,NA
"22698","Latania lontaroides",13,32500,NA
"22699","Latania verschaffeltii",2,5000,NA
"22700","Lathraeocarpa acicularis",NA,NA,NA
"22701","Lathrocasis tenerrima",5,10000,NA
"22702","Lathyrus aphaca",1134,3285000,NA
"22703","Lathyrus articulatus",35,87500,NA
"22704","Lathyrus boissieri",1,2500,NA
"22705","Lathyrus brachycalyx",31,82500,NA
"22706","Lathyrus clymenum",498,1330000,NA
"22707","Lathyrus eucosmus",20,52500,NA
"22708","Lathyrus gorgoni",46,112500,NA
"22709","Lathyrus graminifolius",24,55000,NA
"22710","Lathyrus grimesii",2,5000,NA
"22711","Lathyrus hasslerianus",1,2500,NA
"22712","Lathyrus hirsutus",999,2840000,NA
"22713","Lathyrus hygrophilus",3,7500,NA
"22714","Lathyrus inconspicuus",285,740000,NA
"22715","Lathyrus japonicus",NA,NA,NA
"22716","Lathyrus jepsonii",12,27500,NA
"22717","Lathyrus laetivirens",12,25000,NA
"22718","Lathyrus latifolius",2126,6355000,NA
"22719","Lathyrus linifolius",1078,3102500,NA
"22720","Lathyrus littoralis",45,97500,NA
"22721","Lathyrus macropus",2,5000,NA
"22722","Lathyrus magellanicus",57,137500,NA
"22723","Lathyrus multiceps",4,10000,NA
"22724","Lathyrus niger",884,2580000,NA
"22725","Lathyrus numidicus",NA,NA,NA
"22726","Lathyrus odoratus",553,1532500,NA
"22727","Lathyrus pannonicus",244,670000,NA
"22728","Lathyrus pauciflorus",84,215000,NA
"22729","Lathyrus pratensis",3450,11700000,NA
"22730","Lathyrus pusillus",43,1e+05,NA
"22731","Lathyrus quinquenervius",96,247500,NA
"22732","Lathyrus rigidus",33,80000,NA
"22733","Lathyrus sativus",700,1840000,NA
"22734","Lathyrus saxatilis",68,192500,NA
"22735","Lathyrus speciosus",7,17500,NA
"22736","Lathyrus splendens",13,27500,NA
"22737","Lathyrus subulatus",3,7500,NA
"22738","Lathyrus sulphureus",48,110000,NA
"22739","Lathyrus sylvestris",2121,6765000,NA
"22740","Lathyrus tingitanus",282,725000,NA
"22741","Lathyrus tuberosus",2112,6535000,NA
"22742","Lathyrus venosus",250,685000,NA
"22743","Lathyrus vernus",2188,7430000,NA
"22744","Lathyrus vestitus",90,187500,NA
"22745","Latrobea diosmifolia",4,10000,NA
"22746","Latrobea hirtella",2,5000,NA
"22747","Latua pubiflora",9,15000,NA
"22748","Laubertia contorta",13,30000,NA
"22749","Lauridia reticulata",7,17500,NA
"22750","Lauridia tetragona",39,97500,NA
"22751","Laurophyllus capensis",14,35000,NA
"22752","Lavrania haagnerae",2,2500,NA
"22753","Lawrencia glomerata",121,292500,NA
"22754","Lawrencia helmsii",8,17500,NA
"22755","Lawrencia spicata",69,175000,NA
"22756","Lawsonia inermis",226,557500,NA
"22757","Leavenworthia alabamica",2,5000,NA
"22758","Leavenworthia aurea",3,5000,NA
